Q,omega,I,dI,Tr,Kf,Ki
1.5,-8.0822,0.0022844444444444444,0.0005047576120412453,0.85,4.9,4.484345949750346
1.5,-7.7819,0.0039322222222222215,0.0005167861271692265,0.85,4.9,4.500476614320652
1.5,-7.4975,0.0025588888888888888,0.0005553121689088684,0.85,4.9,4.515700082744904
1.5,-7.1908,0.004377777777777777,0.0005701158643341125,0.85,4.9,4.532059925933964
1.5,-6.8808,0.0033677777777777777,0.0006196404772024293,0.85,4.9,4.548536001540468
1.5,-6.5871,0.004685555555555556,0.0005827213721246753,0.85,4.9,4.564090886049115
1.5,-6.2903,0.005121111111111111,0.0006115786090616057,0.85,4.9,4.5797562818095425
1.5,-5.9904,0.004315555555555555,0.0006310817677059481,0.85,4.9,4.595531058678842
1.5,-5.6874,0.002464444444444445,0.0006737475806777608,0.85,4.9,4.611414094140789
1.5,-5.3812,0.0049633333333333335,0.0005958156563034378,0.85,4.9,4.627409488252957
1.5,-5.0926,0.006047777777777778,0.0006160076558767476,0.85,4.9,4.642435035888558
1.5,-4.7708,0.005406666666666667,0.0005885701443454422,0.85,4.9,4.659131955435009
1.5,-4.4762,0.006041111111111111,0.0006751177309308975,0.85,4.9,4.674365282696719
1.5,-4.1786,0.005537777777777778,0.0006827630863621477,0.85,4.9,4.689703495716062
1.5,-3.8782,0.007175555555555556,0.00067450210260588,0.85,4.9,4.70513531142946
1.5,-3.5964,0.008688888888888888,0.0007236208679231322,0.85,4.9,4.719565760203599
1.5,-3.2901,0.008509999999999998,0.0007498666548127074,0.85,4.9,4.735200930408716
1.5,-2.9808,0.010292222222222222,0.000810048771584575,0.85,4.9,4.7509370235278094
1.5,-2.6907,0.013423333333333334,0.0009708739857964556,0.85,4.9,4.76564906637727
1.5,-2.3753,0.014704444444444445,0.0009876359103222323,0.85,4.9,4.7815928061288435
1.5,-2.0795,0.01947888888888889,0.0011309359174518758,0.85,4.9,4.7964975895999755
1.5,-1.781,0.02937,0.0013255061926172457,0.85,4.9,4.811491615685029
1.5,-1.4796,0.03596888888888889,0.0015199212130328204,0.85,4.9,4.826584051912739
1.5,-1.1754,0.06319888888888889,0.0019960000123704197,0.85,4.9,4.841768994079268
1.5,-0.8682,0.17984222222222224,0.003379005624787517,0.85,4.9,4.857055511068682
1.5,-0.606,0.37896,0.0047906343815592705,0.85,4.9,4.870064838098475
1.5,-0.2934,0.6617322222222222,0.006286596068100509,0.85,4.9,4.885529544232211
1.5,0.0222,0.7973633333333334,0.006902849384828675,0.85,4.9,4.901093162915267
1.5,0.3162,0.7216911111111112,0.006573635520061733,0.85,4.9,4.915547257097042
1.5,0.6128,0.49169111111111113,0.005435557372580781,0.85,4.9,4.93008623628058
1.5,0.9121,0.24288222222222222,0.003757290854844915,0.85,4.9,4.944714231876889
1.5,1.2048,0.08658444444444445,0.0023068502388953116,0.85,4.9,4.958977926195133
1.5,1.5095,0.026727777777777777,0.0013105380103389638,0.85,4.9,4.973782943088752
1.5,1.8263,0.013433333333333334,0.0009100101749532905,0.85,4.9,4.989129300234675
1.5,2.1012,0.011142222222222223,0.0009242360876307592,0.85,4.9,5.002407795643549
1.5,2.4234,0.010539999999999999,0.0008200677478788634,0.85,4.9,5.017926296601242
1.5,2.7127,0.011337777777777778,0.0009106584241262467,0.85,4.9,5.03181941681772
1.5,2.995,0.008122222222222222,0.0007576066929710745,0.85,4.9,5.045339495030106
1.5,3.3254,0.010315555555555557,0.0008553347478409827,0.85,4.9,5.061117334986695
1.5,3.6222,0.008596666666666667,0.0007731489243730856,0.85,4.9,5.075248827708863
1.5,3.9216,0.007999999999999998,0.0008056053624449132,0.85,4.9,5.089464359148912
1.5,4.2235,0.009940000000000001,0.0007465624927328961,0.85,4.9,5.1037584989925975
1.5,4.5279,0.0087,0.0008043492884175243,0.85,4.9,5.118130588616957
1.5,4.835,0.005598888888888889,0.0008379700634035168,0.85,4.9,5.132589376288311
1.5,5.1164,0.007847777777777778,0.0007213712935859566,0.85,4.9,5.145802495541056
1.5,5.4191,0.006874444444444444,0.0007085762110835928,0.85,4.9,5.159977981842788
1.5,5.7145,0.0069788888888888895,0.0007645728251371949,0.85,4.9,5.173774162835173
1.5,6.0317,0.006511111111111112,0.0006960328500832857,0.85,4.9,5.188547633588532
1.5,6.3132,0.0069544444444444445,0.0006898407402535604,0.85,4.9,5.201623249108906
1.5,6.6155,0.007158888888888889,0.0006642242295795102,0.85,4.9,5.215628516982326
1.5,6.9109,0.006371111111111111,0.0007158643226164172,0.85,4.9,5.229277879600364
1.5,7.2086,0.0050977777777777775,0.0006607477993311727,0.85,4.9,5.242997566836451
1.5,7.5087,0.0059255555555555554,0.0006741643203731546,0.85,4.9,5.256791618526388
1.5,7.8111,0.005712222222222222,0.0006575553302541764,0.85,4.9,5.27065487242548
1.5,8.116,0.006515555555555556,0.0006925137606156106,0.85,4.9,5.284595916523882
