Q,omega,I,dI,Tr,Kf,Ki
0.5,-10.495,0.0048355555555555565,0.0008626559619233934,0.85,5.8,5.345548621431332
0.5,-9.9807,0.004513333333333333,0.0008027775855439984,0.85,5.8,5.368715132031321
0.5,-9.4902,0.005382222222222222,0.0007617458829054849,0.85,5.8,5.390716825075825
0.5,-8.9934,0.00647,0.0007527062286620635,0.85,5.8,5.412909949485062
0.5,-8.4901,0.006418888888888889,0.0007473913480637128,0.85,5.8,5.43530103972051
0.5,-7.9804,0.005755555555555555,0.0006952679561609304,0.85,5.8,5.457883237986026
0.5,-7.4965,0.006157777777777778,0.0005936037669176009,0.85,5.8,5.479236247739681
0.5,-6.9738,0.006864444444444445,0.0007852120889870189,0.85,5.8,5.502208282298462
0.5,-6.4775,0.00637,0.0006922347065041515,0.85,5.8,5.523931652749835
0.5,-5.9751,0.0067599999999999995,0.0007307986498801614,0.85,5.8,5.545835357841605
0.5,-5.5006,0.007824444444444445,0.0006670517406403779,0.85,5.8,5.566443532064787
0.5,-4.986,0.00714111111111111,0.0007737682365867814,0.85,5.8,5.588707407518683
0.5,-4.5,0.00845111111111111,0.0007728989840245443,0.85,5.8,5.609652788766719
0.5,-3.9729,0.00933,0.0008724868671408948,0.85,5.8,5.632281426494318
0.5,-3.4749,0.007676666666666667,0.0009265727370460653,0.85,5.8,5.653577579356471
0.5,-2.9711,0.011222222222222222,0.0010161534831090073,0.85,5.8,5.675040442814105
0.5,-2.4979,0.01565,0.0011250432090467559,0.85,5.8,5.695126021374836
0.5,-1.9825,0.025636666666666665,0.0014759642171713954,0.85,5.8,5.716922545174349
0.5,-1.4984,0.05478222222222222,0.0020984838736338276,0.85,5.8,5.737319960645979
0.5,-0.971,0.11542888888888889,0.0030840025299824696,0.85,5.8,5.759459590440239
0.5,-0.4756,0.1928211111111111,0.0038110286677185785,0.85,5.8,5.780178659631022
0.5,0.0254,0.2306277777777778,0.00398791492287621,0.85,5.8,5.801056677843229
0.5,0.532,0.20437555555555556,0.0037467938557559934,0.85,5.8,5.8220919351038205
0.5,1.0047,0.13886666666666667,0.003107684621016699,0.85,5.8,5.841651270141428
0.5,1.5223,0.07019333333333333,0.002273227433180183,0.85,5.8,5.8629936309755255
0.5,2.0054,0.03361666666666667,0.0015181506781217341,0.85,5.8,5.882843584434443
0.5,2.5345,0.015291111111111111,0.0011149965398828006,0.85,5.8,5.904507052931712
0.5,3.0283,0.010592222222222222,0.0008448412810247003,0.85,5.8,5.9246537373481
0.5,3.5273,0.009922222222222221,0.0008455051817379234,0.85,5.8,5.944943221535781
0.5,4.0316,0.010092222222222221,0.0008282384996760769,0.85,5.8,5.965378093606374
0.5,4.4987,0.008707777777777778,0.0007771306831964828,0.85,5.8,5.984243325756985
0.5,5.0134,0.007962222222222223,0.0009115500297790152,0.85,5.8,6.004962392486695
0.5,5.5336,0.009618888888888889,0.0008339427401369715,0.85,5.8,6.02583047432664
0.5,6.0155,0.007977777777777778,0.0007790085500093399,0.85,5.8,6.045097855444113
