Q,omega,I,dI,Tr,Kf,Ki
0.7,-15.0154,-0.3781366666666666,0.007860730104626273,0.85,5.8,5.137436033788222
0.7,-14.4804,-0.0029299999999999994,0.0011972329208080885,0.85,5.8,5.1625043695664745
0.7,-13.9919,0.0015566666666666667,0.0010319829886625501,0.85,5.8,5.18528801924852
0.7,-13.4965,0.0011633333333333333,0.0006774174816495692,0.85,5.8,5.208291697466846
0.7,-12.9943,0.0007933333333333334,0.0006990668383240936,0.85,5.8,5.231507889097391
0.7,-12.485,0.0026,0.0010152339631828715,0.85,5.8,5.25494755371482
0.7,-11.9974,-6.666666666666648e-06,0.0003741805862295786,0.85,5.8,5.27729096316896
0.7,-11.474,0.0014116666666666668,0.0007597569055662184,0.85,5.8,5.301170047080513
0.7,-11.0025,0.0018,0.0008258430036433478,0.85,5.8,5.322589574982941
0.7,-10.495,0.00021833333333333332,0.000345305822585011,0.85,5.8,5.345548621431332
0.7,-9.9807,0.0013766666666666667,0.0007573675168341692,0.85,5.8,5.368715132031321
0.7,-9.4902,-3.666666666666665e-05,0.00037538128764112776,0.85,5.8,5.390716825075825
0.7,-8.9934,0.0012183333333333332,0.0006727328180224631,0.85,5.8,5.412909949485062
0.7,-8.4901,0.0006,0.0006033517492585344,0.85,5.8,5.43530103972051
0.7,-7.9804,0.00043666666666666664,0.0004883361774661205,0.85,5.8,5.457883237986026
0.7,-7.4965,0.0014116666666666668,0.0007597569055662184,0.85,5.8,5.479236247739681
0.7,-6.9738,0.0006783333333333332,0.0007048542008418795,0.85,5.8,5.502208282298462
0.7,-6.4775,0.0022116666666666665,0.0009622441940011324,0.85,5.8,5.523931652749835
0.7,-5.9751,0.00066,0.0006018582335843993,0.85,5.8,5.545835357841605
0.7,-5.5006,0.00197,0.0008170475302371745,0.85,5.8,5.566443532064787
0.7,-4.986,0.00177,0.0008263877217545446,0.85,5.8,5.588707407518683
0.7,-4.5,0.0009633333333333333,0.0006886540818469345,0.85,5.8,5.609652788766719
0.7,-3.9729,0.00283,0.0010071990865762339,0.85,5.8,5.632281426494318
0.7,-3.4749,0.0028483333333333334,0.0010719310197541217,0.85,5.8,5.653577579356471
0.7,-2.9711,0.008491666666666666,0.0017025903467625114,0.85,5.8,5.675040442814105
0.7,-2.4979,0.006726666666666666,0.0016218833359879974,0.85,5.8,5.695126021374836
0.7,-1.9825,0.030103333333333333,0.003182351506529584,0.85,5.8,5.716922545174349
0.7,-1.4984,0.09240666666666665,0.005559320002382385,0.85,5.8,5.737319960645979
0.7,-0.971,0.22390833333333332,0.008649503036462718,0.85,5.8,5.759459590440239
0.7,-0.4756,0.3429083333333333,0.010699559310758758,0.85,5.8,5.780178659631022
0.7,0.0254,0.3929933333333333,0.011451637922634084,0.85,5.8,5.801056677843229
0.7,0.532,0.3481883333333333,0.010775905349951397,0.85,5.8,5.8220919351038205
0.7,1.0047,0.223545,0.008643129737928655,0.85,5.8,5.841651270141428
0.7,1.5223,0.09229666666666667,0.0055604576150609115,0.85,5.8,5.8629936309755255
0.7,2.0054,0.03049,0.003221285975093384,0.85,5.8,5.882843584434443
0.7,2.5345,0.010151666666666666,0.0018958851641266558,0.85,5.8,5.904507052931712
0.7,3.0283,0.003545,0.0011706230534776485,0.85,5.8,5.9246537373481
0.7,3.5273,0.00263,0.0010147906187977893,0.85,5.8,5.944943221535781
0.7,4.0316,0.0024850000000000002,0.0010192276487615511,0.85,5.8,5.965378093606374
0.7,4.4987,9.666666666666671e-05,0.0005170804794441792,0.85,5.8,5.984243325756985
0.7,5.0134,0.0022416666666666665,0.0009617764235459763,0.85,5.8,6.004962392486695
0.7,5.5336,0.0026,0.0010152339631828715,0.85,5.8,6.02583047432664
0.7,6.0155,0.0018483333333333336,0.0009031626530020924,0.85,5.8,6.045097855444113
0.7,6.5021,0.0021883333333333334,0.0008870190402566215,0.85,5.8,6.064491040335067
0.7,7.0385,0.0023266666666666666,0.0009580129899374482,0.85,5.8,6.085797368674916
0.7,7.5354,0.0003933333333333333,0.0007206902555498059,0.85,5.8,6.105468377428019
0.7,8.0372,0.0011216666666666666,0.0007715442667504928,0.85,5.8,6.125269255066495
0.7,8.4978,0.0008416666666666668,0.0007889109934305363,0.85,5.8,6.143388217521124
0.7,9.0093,0.0015933333333333335,0.000915083481316201,0.85,5.8,6.163447051489542
0.7,9.526,0.004261666666666667,0.001257668698646649,0.85,5.8,6.183643743967778
0.7,10.0003,0.0011516666666666667,0.0007709608002716841,0.85,5.8,6.202125217007733
0.7,10.5271,0.001485,0.0008399355133977052,0.85,5.8,6.222588053035909
0.7,11.0107,0.0015383333333333334,0.0009185329486620378,0.85,5.8,6.241313780805143
0.7,11.4988,0.0014616666666666667,0.0007525825905211704,0.85,5.8,6.260156957995594
0.7,12.041,0.0027883333333333336,0.0010727702974593916,0.85,5.8,6.281022398957919
0.7,12.5387,0.0008966666666666669,0.0007848920661820679,0.85,5.8,6.3001145202613404
0.7,13.0412,0.0021216666666666667,0.0009636461429844926,0.85,5.8,6.319332254484376
0.7,13.4974,0.0017333333333333335,0.0009076495897524429,0.85,5.8,6.336728805402344
0.7,14.0089,0.002005,0.0010398437382607062,0.85,5.8,6.356177524153457
0.7,14.5253,0.00014166666666666684,0.001048910810740784,0.85,5.8,6.375752373483278
0.7,15.0465,-0.001206666666666666,0.0012208239476317261,0.85,5.8,6.395448422070485
0.7,15.52,-0.0052299999999999985,0.0012985953950326483,0.85,5.8,6.413289458421595
0.7,15.9975,-0.012658333333333334,0.0014719931687643421,0.85,5.8,6.431231089037905
0.7,16.5329,-0.013298333333333334,0.0014942268532217218,0.85,5.8,6.451288920334586
0.7,17.0191,-0.00875,0.0016814180523197278,0.85,5.8,6.469449681506477
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
0.7,,,,0.85,5.8,
