Q,omega,I,dI,Tr,Kf,Ki
1.5,-8.1008,6.666666666666702e-06,0.0005598412473391205,0.85,4.9,4.483344938986866
1.5,-7.7819,0.00071,0.0006048415770541351,0.85,4.9,4.500476614320652
1.5,-7.4975,0.00017000000000000007,0.000673374586195034,0.85,4.9,4.515700082744904
1.5,-7.1908,0.0006,0.0006268439465555468,0.85,4.9,4.532059925933964
1.5,-6.8808,0.0014233333333333335,0.0009612896430201346,0.85,4.9,4.548536001540468
1.5,-6.5871,-3.666666666666665e-05,0.00041208143747457383,0.85,4.9,4.564090886049115
1.5,-6.2903,0.00051,0.0006289939056408522,0.85,4.9,4.5797562818095425
1.5,-5.9904,0.0005933333333333333,0.0007495628355544614,0.85,4.9,4.595531058678842
1.5,-5.6874,0.0005200000000000002,0.0009494559845862611,0.85,4.9,4.611414094140789
1.5,-5.3812,0.00163,0.0008516846051600713,0.85,4.9,4.627409488252957
1.5,-5.0926,0.00010333333333333333,0.00037657816069324986,0.85,4.9,4.642435035888558
1.5,-4.7801,0.0010733333333333333,0.0006899597411765736,0.85,4.9,4.6586502552353135
1.5,-4.4855,0.0020966666666666664,0.0009886298037632129,0.85,4.9,4.673885152475271
1.5,-4.1786,0.0002600000000000001,0.0006713667651390954,0.85,4.9,4.689703495716062
1.5,-3.8782,0.0006199999999999999,0.0006070694633510512,0.85,4.9,4.70513531142946
1.5,-3.5747,0.0038,0.001167533011667479,0.85,4.9,4.7206751472474675
1.5,-3.2901,0.0008433333333333333,0.0007118598488778845,0.85,4.9,4.735200930408716
1.5,-2.9808,0.00157,0.0008527406796128977,0.85,4.9,4.7509370235278094
1.5,-2.6907,0.0007566666666666668,0.0008377681991789588,0.85,4.9,4.76564906637727
1.5,-2.3753,0.003593333333333333,0.001249737750267809,0.85,4.9,4.7815928061288435
1.5,-2.0795,0.00609,0.0015746851537159208,0.85,4.9,4.7964975895999755
1.5,-1.781,0.012036666666666666,0.0020766613162049854,0.85,4.9,4.811491615685029
1.5,-1.4796,0.01358,0.0022875751353780708,0.85,4.9,4.826584051912739
1.5,-1.1754,0.025143333333333334,0.0030761032347941626,0.85,4.9,4.841768994079268
1.5,-0.8682,0.06395333333333332,0.0049514083293992674,0.85,4.9,4.857055511068682
1.5,-0.5821,0.15812666666666667,0.007548374365090511,0.85,4.9,4.871248933791978
1.5,-0.2693,0.2791766666666667,0.009964272287639585,0.85,4.9,4.886719768873653
1.5,0.0222,0.3513633333333333,0.011163817049338954,0.85,4.9,4.901093162915267
1.5,0.3162,0.3157466666666667,0.010594068571086789,0.85,4.9,4.915547257097042
1.5,0.6128,0.19841333333333333,0.008433412384346235,0.85,4.9,4.93008623628058
1.5,0.9121,0.10149333333333334,0.005936647014753174,0.85,4.9,4.944714231876889
1.5,1.2048,0.03064,0.003373455202014694,0.85,4.9,4.958977926195133
1.5,1.5188,0.009283333333333333,0.0019022997777544011,0.85,4.9,4.974234126226087
1.5,1.8169,0.0032666666666666664,0.0011321758795444382,0.85,4.9,4.988674627071234
1.5,2.1012,0.002586666666666667,0.0011821261448010621,0.85,4.9,5.002407795643549
1.5,2.4141,0.00254,0.0010302426898551622,0.85,4.9,5.017479042364866
1.5,2.7033,0.0007266666666666668,0.000838305168512968,0.85,4.9,5.0313686014630274
1.5,3.031,6.66666666666667e-05,0.0005582313339666828,0.85,4.9,5.047061024480138
1.5,3.3254,0.0015933333333333335,0.000946138350230968,0.85,4.9,5.061117334986695
1.5,3.6222,0.00143,0.000869003260446511,0.85,4.9,5.075248827708863
1.5,3.9216,0.001,0.000903142661303665,0.85,4.9,5.089464359148912
1.5,4.2235,0.0006066666666666666,0.0004733098585728194,0.85,4.9,5.1037584989925975
1.5,4.5279,0.0015333333333333334,0.0009470891076228138,0.85,4.9,5.118130588616957
1.5,4.835,0.0008766666666666667,0.0010865490733919427,0.85,4.9,5.132589376288311
1.5,5.1164,0.00157,0.0008527406796128977,0.85,4.9,5.145802495541056
1.5,5.4191,0.0007633333333333333,0.0007300304407656193,0.85,4.9,5.159977981842788
1.5,5.7145,0.00042333333333333334,0.0007685990140798024,0.85,4.9,5.173774162835173
1.5,6.0317,0.001066666666666667,0.0008030912498312727,0.85,4.9,5.188547633588532
1.5,6.3225,0.00051,0.0006289939056408522,0.85,4.9,5.202054671302665
1.5,6.6155,0.0011033333333333333,0.0006893072206530585,0.85,4.9,5.215628516982326
1.5,6.9109,0.0015933333333333335,0.000946138350230968,0.85,4.9,5.229277879600364
1.5,7.2086,0.0016533333333333335,0.0009451866364786258,0.85,4.9,5.242997566836451
1.5,7.5087,0.0020366666666666667,0.0009895397358817325,0.85,4.9,5.256791618526388
1.5,7.8111,0.001156666666666667,0.0008014084823331705,0.85,4.9,5.27065487242548
1.5,8.0854,0.00046000000000000007,0.0006487937525387658,0.85,4.9,5.283198443266391
