E[meV] sigma[barn]
3.895e-01 2.29979e+01
4.125e-01 2.33897e+01
4.323e-01 2.31359e+01
4.557e-01 2.02545e+01
4.925e-01 2.15741e+01
5.213e-01 2.17370e+01
5.461e-01 2.11021e+01
5.839e-01 2.16569e+01
6.228e-01 2.04290e+01
6.653e-01 2.03850e+01
7.306e-01 1.97592e+01
7.876e-01 1.93447e+01
8.494e-01 1.92971e+01
9.161e-01 1.92496e+01
9.877e-01 1.90232e+01
1.107     1.93116e+01
1.194     1.96285e+01
1.325     1.95621e+01
1.473     2.06233e+01
1.605     2.11525e+01
1.818     2.24960e+01
2.039     2.32689e+01
2.115     2.23855e+01
2.241     2.34158e+01
2.396     2.38073e+01
2.534     2.33223e+01
2.735     2.37049e+01
2.894     2.34406e+01
3.121     2.33829e+01
3.364     2.28924e+01
3.593     2.26301e+01
3.910     2.23571e+01
4.256     2.20873e+01
4.588     2.16240e+01
4.934     1.96417e+01
5.373     1.97717e+01
5.787     1.88205e+01
6.366     1.92975e+01
7.392     1.81530e+01
7.970     1.79395e+01
8.512     1.77340e+01
8.932     1.82114e+01
9.713     1.74930e+01
1.107e+01 1.66207e+01
1.251e+01 1.64000e+01
1.428e+01 1.60263e+01
1.494e+01 1.52694e+01
1.554e+01 1.58330e+01
1.642e+01 1.50805e+01
1.739e+01 1.53374e+01
1.804e+01 1.48940e+01
1.840e+01 1.53091e+01
2.022e+01 1.51197e+01
2.041e+01 1.51151e+01
2.262e+01 1.45099e+01
2.486e+01 1.43304e+01
2.785e+01 1.45476e+01
2.974e+01 1.42469e+01
3.331e+01 1.41943e+01
3.592e+01 1.40274e+01
4.022e+01 1.38453e+01
4.547e+01 1.37901e+01
4.998e+01 1.37477e+01
5.593e+01 1.33174e+01
6.324e+01 1.32642e+01
6.946e+01 1.29780e+01
8.549e+01 1.27702e+01
1.004e+02 1.27035e+01
1.157e+02 1.26450e+01
1.167e+02 1.22908e+01
1.395e+02 1.18804e+01
1.670e+02 1.21478e+01
2.014e+02 1.14133e+01
2.479e+02 1.12306e+01
3.352e+02 1.09141e+01
4.666e+02 1.07971e+01
