E[meV] sigma[barn]
1.018 232.162
1.046 230.508
1.092 230.39
1.129 230.299
1.183 227.049
1.24 225.378
1.299 222.198
1.384 219.768
1.464 214.432
1.645 209.793
1.77 206.062
1.898 202.405
2.015 197.484
2.161 193.979
2.349 190.507
2.519 187.126
2.648 183.849
2.84 181.204
3.025 179.836
3.288 176.616
3.621 173.427
4.069 170.256
4.807 164.776
5.172 163.512
5.455 160.643
5.87 158.867
6.337 156.569
6.729 154.863
7.168 153.693
7.637 152.533
8.109 151.387
8.725 148.187
9.203 146.584
9.706 143.52
10.2 141.489
10.9 138.984
11.58 135.142
12.29 132.76
13.14 131.303
14.28 127.638
16.37 122.733
18.21 119.275
19.39 116.37
20.25 113.951
21.5 111.561
23.52 107.333
25.05 105.798
27.05 103.205
28.91 100.687
31 98.9005
33.24 96.4842
35.41 94.4564
38.1 91.831
40.18 88.6919
42.24 86.5456
46.21 83.8366
49.55 81.2317
53.66 78.9676
57.93 77.0322
62.54 75.1443
68.66 74.5502
74.87 73.2128
80.55 71.1778
87.25 69.4306
92.32 67.9768
100 67.2201
